-4878,2.64,-10935,3.10,667,3,99883,08_32_08_06_08_2024
-4760,2.63,-11006,3.11,668,3,100443,08_32_08_06_08_2024
-4911,2.64,-11091,3.11,667,3,100613,08_32_08_06_08_2024
-5022,2.65,-11013,3.11,668,3,100773,08_32_08_06_08_2024
-4758,2.63,-10987,3.11,668,3,100943,08_32_08_06_08_2024
-4814,2.64,-11151,3.12,668,3,101123,08_32_08_06_08_2024
-5089,2.66,-10979,3.10,667,3,101293,08_32_08_06_08_2024
-5042,2.65,-11150,3.12,665,3,101453,08_32_08_06_08_2024
-5175,2.66,-11046,3.11,667,3,101623,08_32_08_06_08_2024
-4863,2.64,-10945,3.10,667,3,101783,08_32_08_06_08_2024
-4840,2.64,-10865,3.10,668,3,101933,08_32_08_06_08_2024
-4850,2.64,-10941,3.10,667,3,102093,08_32_09_06_08_2024
-5011,2.65,-10936,3.10,667,3,102263,08_32_09_06_08_2024
-4871,2.64,-11040,3.11,668,3,102423,08_32_09_06_08_2024
-4896,2.64,-10945,3.10,668,3,102593,08_32_09_06_08_2024
-4725,2.63,-10884,3.10,667,3,102753,08_32_09_06_08_2024
-4884,2.64,-10908,3.10,668,3,102923,08_32_09_06_08_2024
-4934,2.65,-11097,3.11,668,3,103083,08_32_09_06_08_2024
-4900,2.64,-10942,3.10,667,3,103343,08_32_09_06_08_2024
-4888,2.64,-11068,3.11,667,3,103533,08_32_09_06_08_2024
-4734,2.63,-11041,3.11,667,3,103713,08_32_09_06_08_2024
-4985,2.65,-10979,3.10,668,3,103893,08_32_09_06_08_2024
-4885,2.64,-10965,3.10,667,3,104083,08_32_09_06_08_2024
-4865,2.64,-10961,3.10,667,3,104263,08_32_09_06_08_2024
-4963,2.65,-10807,3.09,668,3,104453,08_32_09_06_08_2024
-5047,2.66,-10922,3.10,667,3,104633,08_32_09_06_08_2024
-4921,2.65,-10870,3.10,668,3,104813,08_32_09_06_08_2024
-4582,2.62,-10736,3.09,667,3,105023,08_32_09_06_08_2024
-4851,2.64,-10792,3.09,667,3,105213,08_32_09_06_08_2024
-4973,2.65,-10863,3.10,666,3,105393,08_32_09_06_08_2024
-4857,2.64,-11183,3.12,668,3,105573,08_32_09_06_08_2024
-4787,2.64,-10968,3.10,667,3,105753,08_32_09_06_08_2024
-4843,2.64,-10987,3.11,668,3,105933,08_32_09_06_08_2024
-4973,2.65,-10976,3.10,668,3,106123,08_32_09_06_08_2024
-4948,2.65,-10971,3.10,668,3,106313,08_32_09_06_08_2024
-4967,2.65,-10818,3.09,667,3,106503,08_32_09_06_08_2024
-4905,2.64,-10903,3.10,667,3,106783,08_32_09_06_08_2024
-4750,2.63,-10761,3.09,668,3,106963,08_32_09_06_08_2024
-5022,2.65,-10692,3.08,667,3,107143,08_32_09_06_08_2024
-4861,2.64,-10886,3.10,665,3,107323,08_32_09_06_08_2024
-4917,2.65,-10898,3.10,668,3,107513,08_32_09_06_08_2024
-5128,2.66,-10801,3.09,668,3,107693,08_32_09_06_08_2024
-5077,2.66,-11073,3.11,667,3,107873,08_32_09_06_08_2024
-4986,2.65,-10782,3.09,668,3,108053,08_32_09_06_08_2024
-4964,2.65,-11054,3.11,667,3,108243,08_32_09_06_08_2024
-4967,2.65,-10825,3.09,668,3,108453,08_32_09_06_08_2024
-4975,2.65,-10763,3.09,668,3,108633,08_32_09_06_08_2024
-4897,2.64,-10701,3.08,668,3,108813,08_32_09_06_08_2024
-5087,2.66,-10965,3.10,668,3,109003,08_32_09_06_08_2024
-4933,2.65,-11005,3.11,665,3,109183,08_32_09_06_08_2024
-4948,2.65,-10907,3.10,667,3,109363,08_32_09_06_08_2024
-4763,2.63,-10684,3.08,667,3,109553,08_32_09_06_08_2024
-4740,2.63,-10917,3.10,668,3,109733,08_32_09_06_08_2024
-5027,2.65,-10966,3.10,668,3,109913,08_32_09_06_08_2024
-5097,2.66,-10937,3.10,668,3,110203,08_32_09_06_08_2024
-4721,2.63,-10930,3.10,667,3,110383,08_32_09_06_08_2024
-4905,2.64,-10897,3.10,668,3,110573,08_32_09_06_08_2024
-5080,2.66,-11032,3.11,665,3,110753,08_32_09_06_08_2024
-4943,2.65,-10686,3.08,667,3,110933,08_32_09_06_08_2024
-4967,2.65,-10789,3.09,668,3,111123,08_32_09_06_08_2024
-4746,2.63,-10902,3.10,668,3,111303,08_32_09_06_08_2024
-4985,2.65,-10874,3.10,668,3,111483,08_32_09_06_08_2024
-4808,2.64,-10850,3.09,667,3,111683,08_32_09_06_08_2024
-4986,2.65,-10908,3.10,667,3,111893,08_32_09_06_08_2024
-4973,2.65,-10947,3.10,668,3,112083,08_32_09_06_08_2024
-4909,2.64,-10875,3.10,668,3,112263,08_32_10_06_08_2024
-4909,2.64,-10953,3.10,668,3,112443,08_32_10_06_08_2024
-4836,2.64,-10887,3.10,667,3,112633,08_32_10_06_08_2024
-4807,2.64,-10788,3.09,668,3,112813,08_32_10_06_08_2024
-4886,2.64,-10813,3.09,668,3,112993,08_32_10_06_08_2024
-4926,2.65,-11027,3.11,668,3,113183,08_32_10_06_08_2024
-4964,2.65,-10865,3.10,668,3,113363,08_32_10_06_08_2024
-4897,2.64,-10936,3.10,668,3,113643,08_32_10_06_08_2024
-4788,2.64,-10836,3.09,666,3,113833,08_32_10_06_08_2024
-4969,2.65,-11023,3.11,666,3,114013,08_32_10_06_08_2024
-4999,2.65,-10697,3.08,668,3,114193,08_32_10_06_08_2024
-4663,2.63,-10730,3.09,667,3,114383,08_32_10_06_08_2024
-4906,2.64,-10870,3.10,668,3,114563,08_32_10_06_08_2024
-4852,2.64,-11065,3.11,668,3,114753,08_32_10_06_08_2024
-4904,2.64,-10984,3.10,667,3,114933,08_32_10_06_08_2024
-5070,2.66,-10771,3.09,667,3,115113,08_32_10_06_08_2024
-4748,2.63,-10889,3.10,668,3,115323,08_32_10_06_08_2024
-4630,2.62,-10953,3.10,667,3,115513,08_32_10_06_08_2024
-4630,2.62,-10991,3.11,668,3,115693,08_32_10_06_08_2024
-4947,2.65,-10914,3.10,668,3,115873,08_32_10_06_08_2024
-4870,2.64,-10910,3.10,668,3,116063,08_32_10_06_08_2024
-4859,2.64,-10999,3.11,667,3,116243,08_32_10_06_08_2024
-4786,2.64,-10966,3.10,667,3,116433,08_32_10_06_08_2024
-4920,2.65,-10920,3.10,667,3,116613,08_32_10_06_08_2024
-4885,2.64,-10795,3.09,668,3,116793,08_32_10_06_08_2024
-4907,2.64,-10991,3.11,668,3,117093,08_32_10_06_08_2024
-4744,2.63,-10758,3.09,667,3,117273,08_32_10_06_08_2024
-4833,2.64,-10817,3.09,668,3,117463,08_32_10_06_08_2024
-4768,2.63,-10829,3.09,667,3,117643,08_32_10_06_08_2024
-4968,2.65,-10842,3.09,667,3,117833,08_32_10_06_08_2024
-4856,2.64,-10806,3.09,668,3,118013,08_32_10_06_08_2024
-4948,2.65,-11092,3.11,667,3,118193,08_32_10_06_08_2024
-4970,2.65,-10938,3.10,665,3,118383,08_32_10_06_08_2024
-4945,2.65,-10922,3.10,668,3,118563,08_32_10_06_08_2024
-4946,2.65,-10936,3.10,667,3,118773,08_32_10_06_08_2024
-4873,2.64,-10860,3.10,665,3,118953,08_32_10_06_08_2024
-4877,2.64,-11045,3.11,668,3,119143,08_32_10_06_08_2024
-4834,2.64,-10871,3.10,668,3,119323,08_32_10_06_08_2024
-4681,2.63,-10952,3.10,667,3,119503,08_32_10_06_08_2024
-4724,2.63,-10743,3.09,668,3,119683,08_32_10_06_08_2024
-4976,2.65,-10877,3.10,668,3,119863,08_32_10_06_08_2024
-5038,2.65,-10997,3.11,668,3,120053,08_32_10_06_08_2024
-4891,2.64,-10671,3.08,667,3,120233,08_32_10_06_08_2024
-4853,2.64,-10903,3.10,667,3,120513,08_32_10_06_08_2024
-4818,2.64,-10968,3.10,668,3,120693,08_32_10_06_08_2024
-4913,2.64,-10802,3.09,668,3,120883,08_32_10_06_08_2024
-4887,2.64,-10906,3.10,667,3,121063,08_32_10_06_08_2024
-4752,2.63,-10899,3.10,668,3,121243,08_32_10_06_08_2024
-4991,2.65,-10925,3.10,667,3,121423,08_32_10_06_08_2024
-5016,2.65,-10807,3.09,668,3,121613,08_32_10_06_08_2024
-4710,2.63,-10851,3.09,667,3,121793,08_32_10_06_08_2024
-4824,2.64,-10805,3.09,668,3,121973,08_32_10_06_08_2024
-4891,2.64,-10728,3.09,668,3,122203,08_32_11_06_08_2024
-5000,2.65,-10805,3.09,665,3,122383,08_32_11_06_08_2024
-4745,2.63,-10851,3.09,668,3,122563,08_32_11_06_08_2024
-4949,2.65,-10892,3.10,668,3,122753,08_32_11_06_08_2024
-4921,2.65,-10801,3.09,667,3,122933,08_32_11_06_08_2024
-4845,2.64,-10887,3.10,667,3,123123,08_32_11_06_08_2024
-4978,2.65,-11028,3.11,668,3,123303,08_32_11_06_08_2024
-4703,2.63,-10765,3.09,667,3,123483,08_32_11_06_08_2024
-4896,2.64,-10817,3.09,667,3,123673,08_32_11_06_08_2024
-4839,2.64,-10959,3.10,668,3,123953,08_32_11_06_08_2024
-4699,2.63,-10975,3.10,668,3,124133,08_32_11_06_08_2024
-4769,2.63,-10838,3.09,668,3,124323,08_32_11_06_08_2024
-4891,2.64,-10891,3.10,667,3,124503,08_32_11_06_08_2024
-4752,2.63,-10862,3.10,667,3,124693,08_32_11_06_08_2024
-4904,2.64,-10832,3.09,668,3,124873,08_32_11_06_08_2024
-4882,2.64,-10986,3.11,668,3,125053,08_32_11_06_08_2024
-5055,2.66,-10925,3.10,668,3,125243,08_32_11_06_08_2024
-4922,2.65,-11127,3.12,668,3,125423,08_32_11_06_08_2024
-4892,2.64,-10912,3.10,666,3,125633,08_32_11_06_08_2024
-4931,2.65,-10837,3.09,665,3,125823,08_32_11_06_08_2024
-4588,2.62,-10923,3.10,668,3,126003,08_32_11_06_08_2024
-4580,2.62,-10884,3.10,666,3,126183,08_32_11_06_08_2024
-4750,2.63,-10966,3.10,668,3,126373,08_32_11_06_08_2024
-4749,2.63,-11078,3.11,668,3,126553,08_32_11_06_08_2024
-4746,2.63,-10794,3.09,668,3,126733,08_32_11_06_08_2024
-4671,2.63,-10950,3.10,667,3,126923,08_32_11_06_08_2024
-4791,2.64,-10861,3.10,668,3,127103,08_32_11_06_08_2024
-4826,2.64,-10901,3.10,668,3,127393,08_32_11_06_08_2024
-5007,2.65,-10851,3.09,668,3,127583,08_32_11_06_08_2024
-4748,2.63,-10988,3.11,666,3,127773,08_32_11_06_08_2024
-4791,2.64,-10814,3.09,668,3,127953,08_32_11_06_08_2024
-4830,2.64,-10790,3.09,667,3,128133,08_32_11_06_08_2024
-4851,2.64,-10956,3.10,668,3,128323,08_32_11_06_08_2024
-4905,2.64,-10972,3.10,667,3,128503,08_32_11_06_08_2024
-5052,2.66,-10949,3.10,667,3,128693,08_32_11_06_08_2024
-4925,2.65,-11029,3.11,667,3,128873,08_32_11_06_08_2024
-4751,2.63,-10830,3.09,668,3,129083,08_32_11_06_08_2024
-4754,2.63,-10909,3.10,667,3,129263,08_32_11_06_08_2024
-4677,2.63,-10839,3.09,668,3,129453,08_32_11_06_08_2024
-4720,2.63,-10857,3.10,668,3,129633,08_32_11_06_08_2024
-4922,2.65,-10828,3.09,668,3,129823,08_32_11_06_08_2024
-4795,2.64,-10817,3.09,667,3,130003,08_32_11_06_08_2024
-4796,2.64,-10734,3.09,668,3,130193,08_32_11_06_08_2024
-5066,2.66,-10852,3.09,668,3,130373,08_32_11_06_08_2024
-5069,2.66,-10907,3.10,668,3,130553,08_32_11_06_08_2024
-4850,2.64,-10708,3.08,668,3,130843,08_32_11_06_08_2024
-4925,2.65,-10825,3.09,668,3,131023,08_32_11_06_08_2024
-4820,2.64,-10669,3.08,667,3,131203,08_32_11_06_08_2024
-4857,2.64,-10736,3.09,668,3,131393,08_32_11_06_08_2024
-4712,2.63,-10823,3.09,667,3,131573,08_32_11_06_08_2024
-5015,2.65,-10960,3.10,667,3,131763,08_32_11_06_08_2024
-4945,2.65,-10737,3.09,667,3,131943,08_32_11_06_08_2024
-4910,2.64,-10881,3.10,668,3,132123,08_32_12_06_08_2024
-4932,2.65,-10813,3.09,668,3,132313,08_32_12_06_08_2024
-4829,2.64,-10699,3.08,668,3,132523,08_32_12_06_08_2024
-4757,2.63,-10846,3.09,668,3,132703,08_32_12_06_08_2024
-4945,2.65,-11097,3.11,668,3,132903,08_32_12_06_08_2024
-4781,2.63,-10938,3.10,668,3,133083,08_32_12_06_08_2024
-4781,2.63,-10853,3.09,667,3,133263,08_32_12_06_08_2024
-4972,2.65,-10929,3.10,667,3,133453,08_32_12_06_08_2024
-4817,2.64,-10883,3.10,668,3,133633,08_32_12_06_08_2024
-4855,2.64,-10757,3.09,667,3,133813,08_32_12_06_08_2024
-4904,2.64,-10783,3.09,668,3,133993,08_32_12_06_08_2024
-4905,2.64,-10788,3.09,668,3,134283,08_32_12_06_08_2024
-4963,2.65,-10714,3.08,668,3,134463,08_32_12_06_08_2024
-5019,2.65,-10852,3.09,667,3,134643,08_32_12_06_08_2024
-4862,2.64,-10796,3.09,667,3,134823,08_32_12_06_08_2024
-4760,2.63,-10794,3.09,667,3,135013,08_32_12_06_08_2024
-4768,2.63,-10869,3.10,668,3,135193,08_32_12_06_08_2024
-5033,2.65,-11030,3.11,668,3,135373,08_32_12_06_08_2024
-4766,2.63,-10859,3.10,667,3,135553,08_32_12_06_08_2024
-4890,2.64,-10900,3.10,668,3,135743,08_32_12_06_08_2024
-4976,2.65,-10795,3.09,667,3,135953,08_32_12_06_08_2024
-4762,2.63,-10782,3.09,668,3,136133,08_32_12_06_08_2024
-4986,2.65,-10726,3.09,668,3,136313,08_32_12_06_08_2024
-4846,2.64,-10736,3.09,668,3,136503,08_32_12_06_08_2024
-4744,2.63,-10790,3.09,668,3,136683,08_32_12_06_08_2024
-4973,2.65,-10729,3.09,668,3,136873,08_32_12_06_08_2024
-4967,2.65,-10936,3.10,666,3,137053,08_32_12_06_08_2024
-4882,2.64,-10975,3.10,668,3,137233,08_32_12_06_08_2024
-4894,2.64,-10980,3.10,667,3,137423,08_32_12_06_08_2024
-4667,2.63,-11006,3.11,668,3,137703,08_32_12_06_08_2024
-4987,2.65,-11063,3.11,665,3,137893,08_32_12_06_08_2024
-5012,2.65,-10968,3.10,668,3,138073,08_32_12_06_08_2024
-4724,2.63,-10964,3.10,667,3,138273,08_32_12_06_08_2024
-4925,2.65,-10789,3.09,668,3,138453,08_32_12_06_08_2024
-4854,2.64,-11007,3.11,668,3,138643,08_32_12_06_08_2024
-4997,2.65,-10913,3.10,668,3,138823,08_32_12_06_08_2024
-5019,2.65,-10805,3.09,667,3,139003,08_32_12_06_08_2024
-4856,2.64,-10748,3.09,668,3,139193,08_32_12_06_08_2024
-4841,2.64,-11034,3.11,667,3,139403,08_32_12_06_08_2024
-4939,2.65,-10811,3.09,668,3,139583,08_32_12_06_08_2024
-4936,2.65,-10812,3.09,668,3,139773,08_32_12_06_08_2024
-4892,2.64,-11056,3.11,667,3,139953,08_32_12_06_08_2024
