-5921,2.72,-12711,3.24,631,3,28973,10_52_04_06_08_2024
-5741,2.71,-12633,3.23,632,3,30193,10_52_04_06_08_2024
-5790,2.71,-12807,3.24,631,3,30563,10_52_04_06_08_2024
-5833,2.71,-12785,3.24,631,3,30933,10_52_04_06_08_2024
-5732,2.71,-12773,3.24,631,3,31283,10_52_04_06_08_2024
-5723,2.71,-12611,3.23,631,3,31643,10_52_04_06_08_2024
-5689,2.70,-12638,3.23,632,3,32003,10_52_04_06_08_2024
-5757,2.71,-12709,3.24,631,3,32373,10_52_04_06_08_2024
-5854,2.72,-12626,3.23,631,3,32743,10_52_04_06_08_2024
-5463,2.69,-12712,3.24,630,3,33093,10_52_04_06_08_2024
-5731,2.71,-12538,3.22,631,3,33483,10_52_04_06_08_2024
-5450,2.69,-12739,3.24,629,3,33833,10_52_04_06_08_2024
-5761,2.71,-12584,3.23,631,3,34203,10_52_04_06_08_2024
-5681,2.70,-12619,3.23,631,3,34553,10_52_04_06_08_2024
-5727,2.71,-12654,3.23,631,3,34913,10_52_04_06_08_2024
-5831,2.71,-12586,3.23,632,3,35273,10_52_05_06_08_2024
-5877,2.72,-12902,3.25,630,3,35623,10_52_05_06_08_2024
-5827,2.71,-12714,3.24,631,3,35983,10_52_05_06_08_2024
-5749,2.71,-12731,3.24,632,3,36343,10_52_05_06_08_2024
-5397,2.68,-12650,3.23,631,3,36803,10_52_05_06_08_2024
-5665,2.70,-12887,3.25,631,3,37183,10_52_05_06_08_2024
-5913,2.72,-12642,3.23,629,3,37553,10_52_05_06_08_2024
-5796,2.71,-12436,3.21,631,3,37933,10_52_05_06_08_2024
-5719,2.71,-12689,3.23,631,3,38303,10_52_05_06_08_2024
-5605,2.70,-12712,3.24,631,3,38683,10_52_05_06_08_2024
-5622,2.70,-12690,3.23,631,3,39093,10_52_05_06_08_2024
-5608,2.70,-12686,3.23,631,3,39463,10_52_05_06_08_2024
-5588,2.70,-12574,3.23,631,3,39853,10_52_05_06_08_2024
-5686,2.70,-12690,3.23,631,3,40253,10_52_05_06_08_2024
-5727,2.71,-12417,3.21,631,3,40633,10_52_05_06_08_2024
-5706,2.70,-12409,3.21,629,3,41003,10_52_05_06_08_2024
-5652,2.70,-12419,3.21,631,3,41383,10_52_05_06_08_2024
-5728,2.71,-12710,3.24,631,3,41753,10_52_05_06_08_2024
-5536,2.69,-12557,3.22,631,3,42133,10_52_05_06_08_2024
-5606,2.70,-12651,3.23,631,3,42513,10_52_05_06_08_2024
-5335,2.68,-12693,3.23,632,3,42893,10_52_05_06_08_2024
-5692,2.70,-12751,3.24,629,3,43263,10_52_05_06_08_2024
-5573,2.69,-12467,3.22,631,3,43733,10_52_05_06_08_2024
-5656,2.70,-12574,3.23,631,3,44113,10_52_05_06_08_2024
-5964,2.72,-12879,3.25,631,3,44493,10_52_05_06_08_2024
-5742,2.71,-12416,3.21,631,3,44863,10_52_05_06_08_2024
-5617,2.70,-12648,3.23,631,3,45243,10_52_06_06_08_2024
-5561,2.69,-12594,3.23,631,3,45623,10_52_06_06_08_2024
-5661,2.70,-12555,3.22,631,3,45993,10_52_06_06_08_2024
-5753,2.71,-12737,3.24,631,3,46373,10_52_06_06_08_2024
-5779,2.71,-12702,3.23,630,3,46753,10_52_06_06_08_2024
