-9119,2.96,0,2.27,606,1.95,1108,10_28_40_02_07_2025,-8.27,0.49,3.59,0.13,-1.35,0.72
-9117,2.96,2449,2.09,607,1.96,1232,10_28_40_02_07_2025,-8.69,1.40,3.57,1.36,-0.32,-0.29
-9037,2.96,2351,2.09,606,1.95,1253,10_28_40_02_07_2025,-8.77,1.27,3.76,1.77,-0.18,-0.32
-9159,2.97,2732,2.07,607,1.96,1276,10_28_40_02_07_2025,-8.60,1.33,3.73,1.64,-0.08,-0.29
-9162,2.97,2409,2.09,608,1.96,1296,10_28_40_02_07_2025,-8.85,1.33,4.02,1.29,0.01,-0.20
-9192,2.97,2572,2.08,607,1.96,1316,10_28_40_02_07_2025,-8.79,2.10,4.29,0.76,0.12,-0.13
-8980,2.95,2645,2.07,605,1.95,1339,10_28_40_02_07_2025,-8.62,2.39,4.39,0.10,0.27,-0.18
-9205,2.97,2613,2.07,607,1.96,1362,10_28_40_02_07_2025,-8.63,1.54,4.49,-0.43,0.28,-0.10
-9050,2.96,2721,2.07,606,1.95,1382,10_28_40_02_07_2025,-8.50,0.84,4.28,-0.80,0.22,0.04
-8866,2.94,2441,2.09,606,1.95,1402,10_28_40_02_07_2025,-8.71,0.42,4.12,-1.34,0.11,0.21
-9055,2.96,2460,2.09,607,1.96,1422,10_28_40_02_07_2025,-8.65,0.59,4.25,-1.94,0.08,0.30
-9014,2.96,2529,2.08,607,1.96,1443,10_28_40_02_07_2025,-8.80,0.89,4.84,-2.34,0.10,0.34
-9214,2.97,2487,2.08,607,1.96,1466,10_28_40_02_07_2025,-8.80,1.19,4.53,-2.37,0.33,0.30
-9144,2.97,2489,2.08,607,1.96,1486,10_28_40_02_07_2025,-8.89,1.28,3.55,-1.90,0.38,0.23
-9268,2.97,2521,2.08,607,1.96,1506,10_28_40_02_07_2025,-8.82,1.31,3.18,-0.88,0.31,0.07
-9156,2.97,2504,2.08,607,1.96,1526,10_28_40_02_07_2025,-8.82,-0.11,4.26,-0.09,0.13,-0.04
-9245,2.97,2828,2.06,606,1.95,1546,10_28_40_02_07_2025,-8.73,-0.18,4.87,-0.44,0.04,0.02
-9276,2.98,2640,2.07,607,1.96,1566,10_28_40_02_07_2025,-8.70,0.32,4.28,-0.84,0.00,0.08
-9214,2.97,2672,2.07,607,1.96,1589,10_28_40_02_07_2025,-9.22,0.57,1.91,0.60,-0.38,-0.01
-9178,2.97,2767,2.06,607,1.96,1610,10_28_40_02_07_2025,-9.25,0.69,2.57,1.78,-0.56,-0.19
-9230,2.97,2651,2.07,608,1.96,1630,10_28_40_02_07_2025,-9.28,0.85,3.22,2.59,-0.69,-0.33
-9124,2.96,2639,2.07,607,1.96,1650,10_28_40_02_07_2025,-9.19,1.00,4.34,2.92,-0.69,-0.42
-9419,2.99,2691,2.07,607,1.96,1670,10_28_40_02_07_2025,-8.79,1.13,5.37,2.26,-0.34,-0.49
-9162,2.97,2873,2.06,608,1.96,1690,10_28_40_02_07_2025,-8.60,1.12,5.84,1.28,-0.02,-0.50
-9088,2.96,2782,2.06,605,1.95,1713,10_28_40_02_07_2025,-8.38,1.01,6.08,0.11,0.31,-0.48
-9206,2.97,2749,2.06,607,1.96,1736,10_28_40_02_07_2025,-8.50,0.78,5.88,-1.13,0.83,-0.32
-9311,2.98,2940,2.05,607,1.96,1757,10_28_40_02_07_2025,-8.33,0.62,5.33,-1.46,1.03,-0.22
-9283,2.98,2846,2.06,607,1.96,1777,10_28_40_02_07_2025,-8.85,2.92,6.46,-2.04,2.23,-0.50
