File,fLmax,fLavg,fRmax,fRavg,fmax,favg,std,var,SessionLength
2025_06_12_Blondie.csv,2.222101849,1.237503723,1.084765268,0.463532786,2.744413037,1.70103651,0.428379631,0.183509108,511.997
2025_06_12_Raven.csv,1.812462914,1.134606192,1.318728022,0.676436783,2.759245495,1.811042975,0.500246206,0.250246267,503.995
2025_06_12_Shiloh.csv,1.837455833,0.633430744,2.107206995,0.57610383,3.704259068,1.209534574,0.560606194,0.314279305,463.988
2025_06_17_Banjo.csv,9.349891896,2.829696988,12.61012976,3.705357534,21.76044117,6.535054523,1.897752656,3.601465145,552.994
2025_06_18_Oakley.csv,3.50798981,1.809798249,4.043591243,1.943395207,7.224994813,3.753193456,0.690071069,0.47619808,643.985
2025_06_19_Coconut.csv,17.31605604,3.170103052,11.50490749,1.941479585,28.82096352,5.111582636,1.280933257,1.64079001,713.988
2025_06_20_Annie.csv,3.316846141,0.865180688,2.460872678,0.431471138,4.512197138,1.296651826,1.204978084,1.451972183,248.277
2025_06_20_Teddy.csv,10.41224972,5.101761468,6.018802966,3.260116203,16.12261013,8.361877672,2.660929983,7.080548373,643.994
2025_06_23_Grizzy.csv,8.447153098,3.429987543,6.612645613,2.813448018,14.53363199,6.243435561,3.331279135,11.09742068,534.979
2025_06_24_Alma.csv,6.101855662,2.017859527,4.83701437,1.172784456,10.93887003,3.190643984,1.830049477,3.349081087,750.247
2025_06_24_GooseRepeat.csv,4.622329276,2.491529989,5.640779394,3.308865879,10.19960579,5.800395867,1.447883524,2.096366699,531.993
2025_06_24_Lucy(Curtis).csv,6.454886315,2.645794831,5.183694735,2.023389734,11.63858105,4.669184565,1.210683057,1.465753464,682.984
2025_06_24_PeanutRepeat.csv,9.313014866,3.275958199,7.502683835,2.767182915,16.49364838,6.043141113,3.179228632,10.10749469,506.995
2025_06_24_Tahoe.csv,18.22890994,4.697577681,24.76086153,5.877852342,42.73575995,10.57543002,5.373388232,28.8733011,525.995
2025_06_25_Chai.csv,3.462131658,2.147153256,2.875047533,1.710818086,5.915338631,3.857971342,0.866759586,0.751272181,560.978
2025_06_25_Kenzie.csv,4.500040873,2.697727296,5.119828982,2.610483495,9.574510654,5.308210791,1.578056363,2.490261886,544.989
2025_06_25_Muppet.csv,1.471815322,0.293276834,1.431808507,0.378914231,2.645076389,0.672191065,0.439350333,0.193028715,662.975
2025_06_25_Sam.csv,8.397212618,3.688227361,10.43134594,3.666771513,16.3201948,7.354998874,3.293146792,10.84481579,660.992
2025_06_26_Astro.csv,2.296264141,0.766156315,2.561751538,0.878077586,4.349992639,1.6442339,0.788216041,0.621284527,656.982
2025_06_26_Barry.csv,11.07726095,2.81255005,12.52494518,2.914725331,23.60220613,5.727275382,3.063011175,9.382037461,662.993
2025_06_26_Leo.csv,3.051630898,1.887854312,1.980836264,1.185171626,4.506300442,3.073025938,0.74404656,0.553605283,521.994
2025_06_27_Atlo.csv,40.62478814,4.164536175,39.70213665,5.860177649,80.32692479,10.02471382,3.733484357,13.93890544,540
2025_06_27_Bucky.csv,7.88964317,2.443507072,10.66068206,3.530660917,17.76107515,5.974167988,2.884044458,8.317712435,603.978
2025_06_27_Dude.csv,13.62794484,5.184372715,14.98019331,4.814029169,27.98671712,9.998401884,4.062112412,16.50075725,587.992
2025_06_27_Peaches.csv,9.182017497,4.109222013,9.616966866,4.658619071,18.5812602,8.767841083,3.714594502,13.79821231,649.986
2025_06_30_Mushu.csv,3.544685402,2.173593557,3.29820351,1.389404492,5.463969232,3.562998049,0.632291605,0.399792674,555.995
