Data Set 1:Time(s),Data Set 1:Force(N)
0,-0.23464202880859375
0.02,-0.2409515380859375
0.040000000000000001,-0.25356292724609375
0.059999999999999998,-0.249359130859375
0.080000000000000002,-0.25145721435546875
0.10000000000000001,-0.2388458251953125
0.12,-0.2325439453125
0.14000000000000001,-0.2325439453125
0.16,-0.22834014892578125
0.17999999999999999,-0.22834014892578125
0.20000000000000001,-0.2241363525390625
0.22,-0.2220306396484375
0.23999999999999999,-0.2220306396484375
0.26000000000000001,-0.21993255615234375
0.28000000000000003,-0.215728759765625
0.29999999999999999,-0.21993255615234375
0.32000000000000001,-0.21782684326171875
0.34000000000000002,-0.2220306396484375
0.35999999999999999,-0.21782684326171875
0.38,-0.22834014892578125
0.40000000000000002,-0.21993255615234375
0.41999999999999998,-0.21993255615234375
0.44,-0.22834014892578125
0.46000000000000002,-0.2325439453125
0.47999999999999998,-0.215728759765625
0.5,-0.20101165771484375
0.52000000000000002,-0.19260406494140625
0.54000000000000004,-0.182098388671875
0.56000000000000005,-0.19470977783203125
0.57999999999999996,-0.18630218505859375
0.59999999999999998,-0.16948699951171875
0.62,-0.14426422119140625
0.64000000000000001,-0.1379547119140625
0.66000000000000003,-0.114837646484375
0.68000000000000005,-0.0980224609375
0.69999999999999996,-0.08541107177734375
0.71999999999999997,-0.07700347900390625
0.73999999999999999,-0.08330535888671875
0.76000000000000001,-0.0791015625
0.78000000000000003,-0.07700347900390625
0.80000000000000004,-0.08541107177734375
0.81999999999999995,-0.1064300537109375
0.83999999999999997,-0.09381866455078125
0.85999999999999999,-0.0875091552734375
0.88,-0.07489776611328125
0.90000000000000002,-0.05178070068359375
0.92000000000000004,-0.0391693115234375
0.93999999999999995,-0.04547119140625
0.95999999999999996,-0.028656005859375
0.97999999999999998,-0.03076171875
1,-0.013946533203125
1.02,-0.00974273681640625
1.04,0.0133819580078125
1.0600000000000001,0.0470123291015625
1.0800000000000001,0.0806427001953125
1.1000000000000001,0.07433319091796875
1.1200000000000001,0.0617218017578125
1.1399999999999999,0.04070281982421875
1.1599999999999999,0.00917816162109375
1.1799999999999999,0.00707244873046875
1.2,-0.00763702392578125
1.22,-0.02445220947265625
1.24,-0.01815032958984375
1.26,-0.01815032958984375
1.28,-0.0202484130859375
1.3,-0.0202484130859375
1.3200000000000001,-0.0055389404296875
1.3400000000000001,-0.0202484130859375
1.3600000000000001,-0.02445220947265625
1.3799999999999999,-0.03496551513671875
1.3999999999999999,-0.04547119140625
1.4199999999999999,-0.0559844970703125
1.4399999999999999,-0.062286376953125
1.46,-0.06859588623046875
1.48,-0.062286376953125
1.5,-0.0727996826171875
1.52,-0.07489776611328125
1.54,-0.0791015625
1.5600000000000001,-0.0896148681640625
1.5800000000000001,-0.09171295166015625
1.6000000000000001,-0.095916748046875
1.6200000000000001,-0.10012054443359375
1.6399999999999999,-0.11273193359375
1.6599999999999999,-0.11904144287109375
1.6799999999999999,-0.10852813720703125
1.7,-0.114837646484375
1.72,-0.11063385009765625
1.74,-0.11273193359375
1.76,-0.1064300537109375
1.78,-0.13375091552734375
1.8,-0.11904144287109375
1.8200000000000001,-0.114837646484375
1.8400000000000001,-0.13375091552734375
1.8600000000000001,-0.1400604248046875
1.8799999999999999,-0.14215850830078125
1.8999999999999999,-0.13165283203125
1.9199999999999999,-0.14426422119140625
1.9399999999999999,-0.1547698974609375
1.96,-0.15897369384765625
1.98,-0.15897369384765625
2,-0.1568756103515625
2.02,-0.1715850830078125
2.04,-0.1715850830078125
2.0600000000000001,-0.17999267578125
2.0800000000000001,-0.1736907958984375
2.1000000000000001,-0.16738128662109375
2.1200000000000001,-0.16948699951171875
2.1400000000000001,-0.16738128662109375
2.1600000000000001,-0.1736907958984375
2.1800000000000002,-0.15267181396484375
2.2000000000000002,-0.1547698974609375
2.2200000000000002,-0.16948699951171875
2.2400000000000002,-0.17789459228515625
2.2599999999999998,-0.215728759765625
2.2799999999999998,-0.24725341796875
2.2999999999999998,-0.2745819091796875
2.3199999999999998,-0.2913970947265625
2.3399999999999999,-0.297698974609375
2.3599999999999999,-0.30190277099609375
2.3799999999999999,-0.3082122802734375
2.3999999999999999,-0.29560089111328125
2.4199999999999999,-0.29560089111328125
2.4399999999999999,-0.28719329833984375
2.46,-0.29560089111328125
2.48,-0.29560089111328125
2.5,-0.2998046875
2.52,-0.31241607666015625
2.54,-0.297698974609375
2.5600000000000001,-0.30400848388671875
2.5800000000000001,-0.2998046875
2.6000000000000001,-0.3082122802734375
2.6200000000000001,-0.3061065673828125
2.6400000000000001,-0.31031036376953125
2.6600000000000001,-0.316619873046875
2.6800000000000002,-0.3229217529296875
2.7000000000000002,-0.33553314208984375
2.7200000000000002,-0.37757110595703125
2.7400000000000002,-0.4154052734375
2.7599999999999998,-0.451141357421875
2.7799999999999998,-0.47846221923828125
2.7999999999999998,-0.48686981201171875
2.8199999999999998,-0.484771728515625
