Data Set 1:Time(s),Data Set 1:Force(N),Data Set 2:Time(s),Data Set 2:Force(N)
0,-0.25986480712890625,0,-0.20101165771484375
0.02,-0.26617431640625,0.02,-0.19470977783203125
0.040000000000000001,-0.2724761962890625,0.040000000000000001,-0.19470977783203125
0.059999999999999998,-0.264068603515625,0.059999999999999998,-0.2052154541015625
0.080000000000000002,-0.26827239990234375,0.080000000000000002,-0.196807861328125
0.10000000000000001,-0.26197052001953125,0.10000000000000001,-0.2073211669921875
0.12,-0.2577667236328125,0.12,-0.196807861328125
0.14000000000000001,-0.26827239990234375,0.14000000000000001,-0.196807861328125
0.16,-0.26197052001953125,0.16,-0.196807861328125
0.17999999999999999,-0.25986480712890625,0.17999999999999999,-0.19891357421875
0.20000000000000001,-0.264068603515625,0.20000000000000001,-0.196807861328125
0.22,-0.27037811279296875,0.22,-0.20101165771484375
0.23999999999999999,-0.26827239990234375,0.23999999999999999,-0.2052154541015625
0.26000000000000001,-0.2577667236328125,0.26000000000000001,-0.20941925048828125
0.28000000000000003,-0.26617431640625,0.28000000000000003,-0.196807861328125
0.29999999999999999,-0.27037811279296875,0.29999999999999999,-0.19260406494140625
0.32000000000000001,-0.25986480712890625,0.32000000000000001,-0.19891357421875
0.34000000000000002,-0.26827239990234375,0.34000000000000002,-0.19891357421875
0.35999999999999999,-0.26617431640625,0.35999999999999999,-0.2073211669921875
0.38,-0.2724761962890625,0.38,-0.20101165771484375
0.40000000000000002,-0.27037811279296875,0.40000000000000002,-0.19260406494140625
0.41999999999999998,-0.264068603515625,0.41999999999999998,-0.19260406494140625
0.44,-0.2745819091796875,0.44,-0.1884002685546875
0.46000000000000002,-0.27878570556640625,0.46000000000000002,-0.1905059814453125
0.47999999999999998,-0.26617431640625,0.47999999999999998,-0.19470977783203125
0.5,-0.264068603515625,0.5,-0.1884002685546875
0.52000000000000002,-0.264068603515625,0.52000000000000002,-0.1905059814453125
0.54000000000000004,-0.25356292724609375,0.54000000000000004,-0.196807861328125
0.56000000000000005,-0.26827239990234375,0.56000000000000005,-0.19260406494140625
0.57999999999999996,-0.26197052001953125,0.57999999999999996,-0.182098388671875
0.59999999999999998,-0.264068603515625,0.59999999999999998,-0.18419647216796875
0.62,-0.25986480712890625,0.62,-0.18630218505859375
0.64000000000000001,-0.26197052001953125,0.64000000000000001,-0.19470977783203125
0.66000000000000003,-0.2577667236328125,0.66000000000000003,-0.19470977783203125
0.68000000000000005,-0.2577667236328125,0.68000000000000005,-0.196807861328125
0.69999999999999996,-0.26827239990234375,0.69999999999999996,-0.20101165771484375
0.71999999999999997,-0.27037811279296875,0.71999999999999997,-0.2052154541015625
0.73999999999999999,-0.26617431640625,0.73999999999999999,-0.20311737060546875
0.76000000000000001,-0.27667999267578125,0.76000000000000001,-0.20941925048828125
0.78000000000000003,-0.26827239990234375,0.78000000000000003,-0.2052154541015625
0.80000000000000004,-0.26197052001953125,0.80000000000000004,-0.213623046875
0.81999999999999995,-0.2724761962890625,0.81999999999999995,-0.21993255615234375
0.83999999999999997,-0.26197052001953125,0.83999999999999997,-0.20311737060546875
0.85999999999999999,-0.26197052001953125,0.85999999999999999,-0.21993255615234375
0.88,-0.2724761962890625,0.88,-0.20101165771484375
0.90000000000000002,-0.264068603515625,0.90000000000000002,-0.182098388671875
0.92000000000000004,-0.27037811279296875,0.92000000000000004,-0.18630218505859375
0.93999999999999995,-0.26617431640625,0.93999999999999995,-0.18419647216796875
0.95999999999999996,-0.26827239990234375,0.95999999999999996,-0.19260406494140625
0.97999999999999998,-0.2745819091796875,0.97999999999999998,-0.196807861328125
1,-0.26197052001953125,1,-0.1884002685546875
1.02,-0.26617431640625,1.02,-0.1905059814453125
1.04,-0.25986480712890625,1.04,-0.1905059814453125
1.0600000000000001,-0.27037811279296875,1.0600000000000001,-0.19891357421875
